academic_period,metric_key,metric_name,domain,numeric_value,unit,direction,source_name,source_type,quality_tier,confidence_score,as_of_date,notes
2020-2021,academic.graduation.rate,Graduation Rate,ACADEMIC_PERFORMANCE,71.2,percent,HIGHER_IS_BETTER,Academic Registrar,MANUAL,VERIFIED,0.95,2021-06-30,Historical baseline post-pandemic cohort
2021-2022,academic.graduation.rate,Graduation Rate,ACADEMIC_PERFORMANCE,73.0,percent,HIGHER_IS_BETTER,Academic Registrar,MANUAL,VERIFIED,0.95,2022-06-30,Digital tutoring intervention implemented
2022-2023,academic.graduation.rate,Graduation Rate,ACADEMIC_PERFORMANCE,74.8,percent,HIGHER_IS_BETTER,Agent 71 (Simulation),AGENT,VERIFIED,0.95,2023-06-30,Curriculum flexibility and remediation
2023-2024,academic.graduation.rate,Graduation Rate,ACADEMIC_PERFORMANCE,77.1,percent,HIGHER_IS_BETTER,Agent 71 (Simulation),AGENT,VERIFIED,0.96,2024-06-30,Academic mentoring system scaled
2024-2025,academic.graduation.rate,Graduation Rate,ACADEMIC_PERFORMANCE,80.4,percent,HIGHER_IS_BETTER,Office of Institutional Research,MANUAL,VERIFIED,0.98,2025-06-30,Target surpassed; 5-year high
2020-2021,academic.dropout.rate,Dropout Rate,ACADEMIC_PERFORMANCE,11.5,percent,LOWER_IS_BETTER,Dean of Student Welfare,MANUAL,VERIFIED,0.92,2021-06-30,Elevated due to remote transition challenges
2021-2022,academic.dropout.rate,Dropout Rate,ACADEMIC_PERFORMANCE,10.2,percent,LOWER_IS_BETTER,Dean of Student Welfare,MANUAL,VERIFIED,0.93,2022-06-30,Early warning alert system rolled out
2022-2023,academic.dropout.rate,Dropout Rate,ACADEMIC_PERFORMANCE,9.1,percent,LOWER_IS_BETTER,Agent 71 (Simulation),AGENT,VERIFIED,0.94,2023-06-30,Financial aid retention bridge support
2023-2024,academic.dropout.rate,Dropout Rate,ACADEMIC_PERFORMANCE,8.0,percent,LOWER_IS_BETTER,Agent 71 (Simulation),AGENT,VERIFIED,0.95,2024-06-30,Continuous reduction in year-1 attrition
2024-2025,academic.dropout.rate,Dropout Rate,ACADEMIC_PERFORMANCE,6.8,percent,LOWER_IS_BETTER,Dean of Student Welfare,MANUAL,VERIFIED,0.96,2025-06-30,Historical lowest withdrawal rate
2020-2021,placement.rate,Placement Rate,PLACEMENT_EMPLOYER_DEMAND,68.5,percent,HIGHER_IS_BETTER,Corporate Relations & Placement,MANUAL,VERIFIED,0.94,2021-07-31,COVID IT slowdown hiring dip
2021-2022,placement.rate,Placement Rate,PLACEMENT_EMPLOYER_DEMAND,71.0,percent,HIGHER_IS_BETTER,Corporate Relations & Placement,MANUAL,VERIFIED,0.95,2022-07-31,Mass hiring recovery in tech sector
2022-2023,placement.rate,Placement Rate,PLACEMENT_EMPLOYER_DEMAND,74.5,percent,HIGHER_IS_BETTER,Agent 71 (Simulation),AGENT,VERIFIED,0.96,2023-07-31,Diversified to BFSI and core engineering
2023-2024,placement.rate,Placement Rate,PLACEMENT_EMPLOYER_DEMAND,76.2,percent,HIGHER_IS_BETTER,Agent 71 (Simulation),AGENT,VERIFIED,0.96,2024-07-31,Tech recruiter hiring standards elevated
2024-2025,placement.rate,Placement Rate,PLACEMENT_EMPLOYER_DEMAND,83.0,percent,HIGHER_IS_BETTER,Corporate Relations & Placement,MANUAL,VERIFIED,0.97,2025-07-31,AI skill specialization partnerships
2020-2021,placement.median.salary,Median Starting Salary,PLACEMENT_EMPLOYER_DEMAND,52.0,usd_thousands,HIGHER_IS_BETTER,Corporate Relations & Placement,MANUAL,VERIFIED,0.90,2021-07-31,Calibrated to 5.2 LPA standard baseline
2021-2022,placement.median.salary,Median Starting Salary,PLACEMENT_EMPLOYER_DEMAND,56.5,usd_thousands,HIGHER_IS_BETTER,Corporate Relations & Placement,MANUAL,VERIFIED,0.91,2022-07-31,Wage recovery in software roles
2022-2023,placement.median.salary,Median Starting Salary,PLACEMENT_EMPLOYER_DEMAND,61.0,usd_thousands,HIGHER_IS_BETTER,Agent 71 (Simulation),AGENT,VERIFIED,0.93,2023-07-31,Product engineering offers added
2023-2024,placement.median.salary,Median Starting Salary,PLACEMENT_EMPLOYER_DEMAND,67.5,usd_thousands,HIGHER_IS_BETTER,Agent 71 (Simulation),AGENT,VERIFIED,0.94,2024-07-31,Specialized data science tier compensation
2024-2025,placement.median.salary,Median Starting Salary,PLACEMENT_EMPLOYER_DEMAND,74.2,usd_thousands,HIGHER_IS_BETTER,Corporate Relations & Placement,MANUAL,VERIFIED,0.96,2025-07-31,Top tier packages reaching 7.42 LPA median
2020-2021,employer.demand.index,Employer Demand Index,PLACEMENT_EMPLOYER_DEMAND,72.0,index,HIGHER_IS_BETTER,Market Intelligence Agent,AGENT,ESTIMATED,0.85,2021-06-30,Regional hiring index baseline
2021-2022,employer.demand.index,Employer Demand Index,PLACEMENT_EMPLOYER_DEMAND,76.4,index,HIGHER_IS_BETTER,Market Intelligence Agent,AGENT,ESTIMATED,0.87,2022-06-30,Surge in Hyderabad and Amaravati demand
2022-2023,employer.demand.index,Employer Demand Index,PLACEMENT_EMPLOYER_DEMAND,81.0,index,HIGHER_IS_BETTER,Agent 71 (Simulation),AGENT,VERIFIED,0.90,2023-06-30,Semi-conductor and cloud hiring requests
2023-2024,employer.demand.index,Employer Demand Index,PLACEMENT_EMPLOYER_DEMAND,85.5,index,HIGHER_IS_BETTER,Agent 71 (Simulation),AGENT,VERIFIED,0.92,2024-06-30,Tech employer demand remains resilient
2024-2025,employer.demand.index,Employer Demand Index,PLACEMENT_EMPLOYER_DEMAND,91.2,index,HIGHER_IS_BETTER,Market Intelligence Agent,AGENT,VERIFIED,0.94,2025-06-30,Expansion of regional software tech parks
2020-2021,admissions.yield,Admissions Yield,ADMISSIONS_MARKET,46.5,percent,HIGHER_IS_BETTER,Directorate of Admissions,MANUAL,VERIFIED,0.94,2021-08-31,Strong local preference during pandemic
2021-2022,admissions.yield,Admissions Yield,ADMISSIONS_MARKET,43.8,percent,HIGHER_IS_BETTER,Directorate of Admissions,MANUAL,VERIFIED,0.94,2022-08-31,Interstate mobility resumed
2022-2023,admissions.yield,Admissions Yield,ADMISSIONS_MARKET,40.2,percent,HIGHER_IS_BETTER,Agent 71 (Simulation),AGENT,VERIFIED,0.93,2023-08-31,Competitor private university tuition discounts
